,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:00,16.54957142857143,26.911772091448025,724.2434771020409,16961.928571428572,19730.747015270666,389302377.7806123,16961.928571428572,19730.747015270666,389302377.7806123,7.714285714285714,5.94532915619566,35.3469387755102,1684.2857142857142,2052.1288050834096,4211232.632653062,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:01,6.838111111111111,6.1907683950368915,38.32561332098765,24554.416666666668,24786.83780577349,614387328.4097221,24554.416666666668,24786.83780577349,614387328.4097221,11.88888888888889,8.399000528428559,70.54320987654322,1711.8055555555557,1268.0029534544215,1607831.489969136,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:02,18.902833333333334,28.828487236778678,831.0816763611111,19589.805555555555,22665.20611571285,513711568.26774704,19589.869444444445,22665.144700298195,513708784.2854553,14.805555555555555,7.915594469303562,62.65663580246914,2286.527777777778,1363.7904385716695,1859924.3603395063,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:03,10.834,6.092673351774947,37.12066857142857,15346.785714285714,19750.06319222647,390064996.0969388,15346.092857142856,19750.36319407332,390076846.29780614,15.142857142857142,8.500900312463909,72.26530612244898,2465.0714285714284,1335.9082231247194,1784650.7806122452,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:04,15.50372727272727,33.8072217838704,1142.9282447438018,17890.272727272728,20679.877666206252,427657340.28925616,17890.272727272728,20679.877666206252,427657340.28925616,8.045454545454545,8.287324783433778,68.67975206611571,1305.4545454545455,1708.4637098674011,2918848.2479338837,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:05,34.207,47.34603474421063,2241.647006,19623.535714285714,22285.86053257302,496659579.67729586,19623.535714285714,22285.86053257302,496659579.67729586,13.428571428571429,8.516490606165075,72.53061224489795,2093.8214285714284,1833.551219697749,3361910.075255103,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:06,11.980619047619049,25.460187158396728,648.2211301405897,19661.619047619046,23217.601152648105,539057003.2834467,19654.959523809524,23221.68601545772,539246701.4005046,11.238095238095237,8.431261341012595,71.08616780045351,1899.5238095238096,1771.6876167479043,3138877.011337869,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:07,14.468266666666667,17.968066646012744,322.8514189955556,16426.033333333333,22149.167992625717,490585642.7655555,16425.61,22149.29879832693,490591437.25756675,10.333333333333334,9.585869229698938,91.88888888888891,1711.9333333333334,1928.4385208994581,3718875.1288888897,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:08,17.94877272727273,29.011485609436292,841.666297266529,20098.0,21994.585076373187,483761772.6818182,20098.0,21994.585076373187,483761772.6818182,11.409090909090908,8.608447705645103,74.10537190082644,1798.5681818181818,1680.9447478579536,2825575.2453512396,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:09,7.121454545454545,7.56697727205604,57.25914503581267,23297.39393939394,24975.24416714376,623762821.2084483,20443.88787878788,24660.149678252004,608122982.1537924,10.151515151515152,9.6046744052877,92.24977043158863,1368.4242424242425,1451.4733169146912,2106774.7897153352,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:10,28.9524,41.312062098617155,1706.6864748400003,19902.125,23557.30955158876,554946833.309375,19877.307500000003,23572.38365646745,555657271.2476938,11.275,7.687611787805104,59.099374999999995,2189.275,1959.3615795393662,3839097.799375,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:11,15.42421052631579,26.02125101482885,677.1055043767315,21728.947368421053,23190.38842409475,537794115.2603878,21728.947368421053,23190.38842409475,537794115.2603878,15.894736842105264,8.05830553458,64.93628808864267,2302.842105263158,1264.636738487543,1599306.0803324103,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:12,8.5941875,11.09688356149346,123.14082477734377,18589.3125,22213.0725973433,493420594.21484375,17475.103125,22127.705753724847,489635361.92342776,9.78125,8.313146121505383,69.1083984375,1558.8125,1712.0221493437957,2931019.83984375,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:13,20.43920754716981,48.33543263579007,2336.3140480889997,33176.52830188679,25397.3837659484,645027102.1548594,33176.52830188679,25397.3837659484,645027102.1548594,5.962264150943396,1.3935466379389931,1.9419722321110715,520.5566037735849,173.41264345260515,30071.944909220365,normal
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:14,7.608076923076923,8.475399055379574,71.83238914792899,20997.615384615383,23466.793108031354,550690378.7751479,20979.946153846155,23478.63744384261,551246416.2194083,10.576923076923077,10.713661576636543,114.78254437869822,1559.2307692307693,1559.8920403395846,2433263.1775147924,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0:00:15,15.118857142857141,24.92581883506818,621.2964445986397,20889.761904761905,23278.164147676416,541872926.0861677,20889.761904761905,23278.164147676416,541872926.0861677,14.214285714285714,7.851404831183351,61.64455782312926,2236.285714285714,1359.7625893220213,1848954.2993197278,suspicious
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
