,label,V1,V2,V3,V4,V5
103698,nominal,0.051,63688,8000.0,6,589
103699,nominal,0.062,8000,64718.0,7,561
103700,nominal,0.062,64718,8000.0,6,589
103701,nominal,0.047,8000,49393.0,7,561
103702,nominal,0.047,49393,8000.0,6,589
103703,nominal,0.049,8000,50430.0,7,561
103704,nominal,0.049,50430,8000.0,6,589
103705,nominal,0.053,8000,51463.0,7,561
103706,nominal,0.053,51463,8000.0,6,589
103707,nominal,0.052,8000,52499.0,7,561
103708,nominal,0.052,52499,8000.0,6,589
103709,nominal,0.067,8000,53531.0,7,561
103710,nominal,0.067,53531,8000.0,6,589
103711,nominal,0.054,8000,54566.0,7,561
103712,nominal,0.054,54566,8000.0,6,589
103713,nominal,0.051,8000,55598.0,7,561
103714,nominal,0.051,55598,8000.0,6,589
103715,nominal,0.054,8000,56629.0,7,561
103716,nominal,0.054,56629,8000.0,6,589
103717,nominal,0.056,8000,57645.0,7,561
103718,nominal,0.056,57645,8000.0,6,589
103719,nominal,0.054,8000,61434.0,7,561
103720,nominal,0.054,61434,8000.0,6,589
103721,nominal,0.053,8000,49945.0,7,561
103722,nominal,0.053,49945,8000.0,6,589
103723,nominal,0.056,8000,51005.0,7,561
103724,nominal,0.056,51005,8000.0,6,589
103725,nominal,0.055,8000,52034.0,7,561
103726,nominal,0.055,52034,8000.0,6,589
103727,nominal,0.055,8000,56126.0,7,561
103728,nominal,0.055,56126,8000.0,6,589
103729,nominal,0.053,8000,57165.0,7,561
103730,nominal,0.053,57165,8000.0,6,589
103731,nominal,0.052,8000,58190.0,7,561
103732,nominal,0.052,58190,8000.0,6,589
103733,nominal,0.072,8000,59207.0,7,561
103734,nominal,0.072,59207,8000.0,6,589
103735,nominal,0.055,8000,60239.0,7,561
103736,nominal,0.055,60239,8000.0,6,589
103737,nominal,0.052,8000,63100.0,7,561
103738,nominal,0.052,63100,8000.0,6,589
103739,nominal,0.055,8000,64142.0,7,561
103740,nominal,0.055,64142,8000.0,6,589
103741,nominal,0.055,8000,65177.0,7,561
103742,nominal,0.055,65177,8000.0,6,589
103743,nominal,0.054,8000,49852.0,7,561
103744,nominal,0.054,49852,8000.0,6,589
103745,nominal,0.055,8000,50874.0,7,561
103746,nominal,0.055,50874,8000.0,6,589
103747,nominal,0.055,8000,51903.0,7,561
103748,nominal,0.055,51903,8000.0,6,589
103749,nominal,0.07,8000,52929.0,7,561
103750,nominal,0.07,52929,8000.0,6,589
103751,nominal,0.059,8000,53949.0,7,561
103752,nominal,0.059,53949,8000.0,6,589
103753,nominal,0.054,8000,54971.0,7,561
103754,nominal,0.054,54971,8000.0,6,589
103755,nominal,0.059,8000,56001.0,7,561
103756,nominal,0.059,56001,8000.0,6,589
103757,nominal,0.056,8000,57029.0,7,561
103758,nominal,0.056,57029,8000.0,6,589
103759,nominal,0.057,8000,58054.0,7,561
103760,nominal,0.057,58054,8000.0,6,589
103761,nominal,0.056,8000,59080.0,7,561
103762,nominal,0.056,59080,8000.0,6,589
103763,nominal,0.054,8000,60105.0,7,561
103764,nominal,0.054,60105,8000.0,6,589
103765,nominal,0.057,8000,61132.0,7,561
103766,nominal,0.057,61132,8000.0,6,589
103767,nominal,0.053,8000,62191.0,7,561
103768,nominal,0.053,62191,8000.0,6,589
103769,nominal,0.051,8000,63438.0,7,561
103770,nominal,0.051,63438,8000.0,6,589
103771,nominal,0.064,8000,64465.0,7,561
103772,nominal,0.064,64465,8000.0,6,589
103773,nominal,0.055,8000,49467.0,7,561
103774,nominal,0.055,49467,8000.0,6,589
103775,nominal,0.063,8000,55456.0,7,561
103776,nominal,0.063,55456,8000.0,6,589
103777,nominal,0.057,8000,56501.0,7,561
