,label,V1,V2,V3,V4,V5
69132,anomaly,30.997,2131,80.0,1,46
69133,anomaly,30.997,80,2131.0,6,264
69134,anomaly,10.744,59751,22.0,7,374
69135,anomaly,10.744,22,59751.0,8,587
69136,anomaly,6.374,62928,22.0,16,1785
69137,anomaly,6.374,22,62928.0,16,2705
69138,anomaly,0.343,17452,22.0,2,92
69139,anomaly,0.343,22,17452.0,1,44
69140,anomaly,9.412,47286,22.0,15,2163
69141,anomaly,9.412,22,47286.0,19,3185
69142,anomaly,0.313,50258,22.0,2,92
69143,anomaly,0.313,22,50258.0,1,44
69144,anomaly,42.685,22,2061.0,55,9063
69145,anomaly,42.685,2061,22.0,40,8383
69146,anomaly,17.261,22704,22.0,24,2912
69147,anomaly,17.261,22,22704.0,26,3745
69148,anomaly,0.001,53432,23.0,1,46
69149,anomaly,0.001,23,53432.0,1,40
69150,anomaly,0.059,3388,47715.0,1,40
69151,anomaly,0.059,47715,3388.0,2,92
69152,anomaly,0.0,8085,56678.0,1,46
69153,anomaly,0.0,56678,8085.0,1,40
69154,anomaly,11.57,56004,22.0,17,2267
69155,anomaly,11.57,22,56004.0,19,3185
69156,anomaly,16.939,52815,22.0,21,2637
69157,anomaly,16.939,22,52815.0,26,3913
69158,anomaly,18.472,33990,22.0,24,2900
69159,anomaly,18.472,22,33990.0,26,3745
69160,anomaly,120.915,16785,22.0,5,268
69161,anomaly,120.915,22,16785.0,4,281
69162,anomaly,16.924,59306,22.0,15,1884
69163,anomaly,16.924,22,59306.0,23,3545
69164,anomaly,0.016,123,49640.0,1,76
69165,anomaly,0.016,49640,123.0,1,76
69166,anomaly,5.636,53238,22.0,7,441
69167,anomaly,5.636,22,53238.0,8,1564
69168,anomaly,19.716,22,31272.0,26,3745
69169,anomaly,19.716,31272,22.0,24,2918
69170,anomaly,30.999,44427,80.0,1,46
69171,anomaly,30.999,80,44427.0,6,264
69172,anomaly,17.938,43874,22.0,24,2883
69173,anomaly,17.938,22,43874.0,26,3745
69174,anomaly,19.192,58142,22.0,24,2915
69175,anomaly,19.192,22,58142.0,26,3745
69176,anomaly,19.421,9546,22.0,25,2952
69177,anomaly,19.421,22,9546.0,26,3745
69178,anomaly,8.045,54640,22.0,11,1804
69179,anomaly,8.045,22,54640.0,14,2261
69180,anomaly,30.997,45931,80.0,1,46
69181,anomaly,30.997,80,45931.0,6,264
69182,anomaly,0.0,57906,1900.0,1,122
69183,anomaly,0.0,0,3.3,1,150
69184,anomaly,6.056,60967,22.0,8,1143
69185,anomaly,6.056,22,60967.0,5,2077
69186,anomaly,9.797,46865,22.0,17,2267
69187,anomaly,9.797,22,46865.0,19,3185
69188,anomaly,18.382,31710,22.0,25,2952
69189,anomaly,18.382,22,31710.0,26,3745
69190,anomaly,10.045,61554,22.0,19,2383
69191,anomaly,10.045,22,61554.0,20,3305
69192,anomaly,71.191,28230,22.0,9,539
69193,anomaly,71.191,22,28230.0,14,5939
69194,anomaly,0.362,59778,22.0,12,1457
69195,anomaly,0.362,22,59778.0,11,2497
69196,anomaly,0.0,60973,3128.0,1,46
69197,anomaly,0.0,3128,60973.0,1,40
