,label,V1,V2,V3,V4,V5
86415,anomaly,9.917,58158,22.0,17,2267
86416,anomaly,9.917,22,58158.0,19,3185
86417,anomaly,30.999,7815,80.0,1,46
86418,anomaly,30.999,80,7815.0,6,264
86419,anomaly,0.977,22,65017.0,5,1285
86420,anomaly,0.977,65017,22.0,6,340
86421,anomaly,9.168,41525,22.0,17,2267
86422,anomaly,9.168,22,41525.0,19,3185
86423,anomaly,9.712,22,47086.0,19,3185
86424,anomaly,9.712,47086,22.0,17,2267
86425,anomaly,5.723,52045,80.0,5,341
86426,anomaly,5.723,80,52045.0,5,1346
86427,anomaly,122.32,15059,22.0,5,262
86428,anomaly,122.32,22,15059.0,6,438
86429,anomaly,8.869,39831,22.0,17,2283
86430,anomaly,8.869,22,39831.0,19,3185
86431,anomaly,0.035,8080,57868.0,1,40
86432,anomaly,0.035,57868,8080.0,2,92
86433,anomaly,0.001,11667,23.0,1,46
86434,anomaly,0.001,23,11667.0,1,40
86435,anomaly,12656.207,297,80.0,14,644
86436,anomaly,12656.207,80,297.0,64,2816
86437,anomaly,9.164,31217,22.0,12,1808
86438,anomaly,9.164,22,31217.0,15,3469
86439,anomaly,0.0,38193,81.0,1,46
86440,anomaly,0.0,81,38193.0,1,40
86441,anomaly,9.884,22,37142.0,20,3249
86442,anomaly,9.884,37142,22.0,17,2267
86443,anomaly,10.343,22,52482.0,19,3185
86444,anomaly,10.343,52482,22.0,15,2179
86445,anomaly,90.827,15605,22.0,7,1035
86446,anomaly,90.827,22,15605.0,14,8597
86447,anomaly,121.934,64842,22.0,7,395
86448,anomaly,121.934,22,64842.0,7,1421
86449,anomaly,5.573,50406,22.0,7,405
86450,anomaly,5.573,22,50406.0,5,1326
86451,anomaly,9.155,52564,22.0,15,2163
86452,anomaly,9.155,22,52564.0,19,3185
86453,anomaly,18.846,50184,22.0,24,2932
86454,anomaly,18.846,22,50184.0,26,3745
86455,anomaly,18.127,40290,22.0,26,3004
86456,anomaly,18.127,22,40290.0,26,3745
86457,anomaly,10.155,22,52005.0,20,3289
86458,anomaly,10.155,52005,22.0,20,2435
86459,anomaly,30.997,14018,80.0,1,46
86460,anomaly,30.997,80,14018.0,6,264
86461,anomaly,19.93,26622,22.0,24,2900
86462,anomaly,19.93,22,26622.0,26,3745
86463,anomaly,0.0,80,23375.0,1,46
86464,anomaly,30.998,10283,80.0,1,46
86465,anomaly,30.998,80,10283.0,6,264
86466,anomaly,5.541,53567,22.0,7,441
86467,anomaly,5.541,22,53567.0,8,1564
86468,anomaly,31.466,16870,22.0,2,106
86469,anomaly,31.466,22,16870.0,6,360
86470,anomaly,10.041,55317,22.0,17,2267
86471,anomaly,10.041,22,55317.0,19,3185
86472,anomaly,9.624,45929,22.0,17,2267
86473,anomaly,9.624,22,45929.0,19,3185
86474,anomaly,0.195,41201,23.0,2,92
86475,anomaly,0.195,23,41201.0,1,40
86476,anomaly,18.953,31214,22.0,24,2918
86477,anomaly,18.953,22,31214.0,26,3745
86478,anomaly,9.198,22,47716.0,20,3249
86479,anomaly,9.198,47716,22.0,17,2261
86480,anomaly,10.847,22,51412.0,21,4277
86481,anomaly,10.847,51412,22.0,17,2279
86482,anomaly,9.593,46206,22.0,17,2267
86483,anomaly,9.593,22,46206.0,19,3185
86484,anomaly,10.284,54011,22.0,17,2283
86485,anomaly,10.284,22,54011.0,19,3185
86486,anomaly,30.996,60522,80.0,1,46
86487,anomaly,30.996,80,60522.0,6,264
86488,anomaly,0.0,52628,23.0,1,46
86489,anomaly,0.0,23,52628.0,1,40
86490,anomaly,21.326,36648,22.0,27,3056
86491,anomaly,21.326,22,36648.0,26,3745
86492,anomaly,9.514,22,50152.0,19,3185
86493,anomaly,9.514,50152,22.0,17,2267
86494,anomaly,9.37,34391,22.0,17,2267
86495,anomaly,9.37,22,34391.0,19,3185
86496,anomaly,87.705,63800,22.0,4,255
86497,anomaly,87.705,22,63800.0,11,4812
86498,anomaly,0.0,11390,23.0,1,46
86499,anomaly,0.0,23,11390.0,1,40
86500,anomaly,10.649,55641,22.0,15,2163
86501,anomaly,10.649,22,55641.0,21,3393
86502,anomaly,10.625,34887,22.0,19,2496
86503,anomaly,10.625,22,34887.0,24,3522
86504,anomaly,31.0,47309,80.0,1,46
86505,anomaly,31.0,80,47309.0,6,264
86506,anomaly,19.309,7466,22.0,24,2895
86507,anomaly,19.309,22,7466.0,26,3745
86508,anomaly,10.182,45021,22.0,17,2277
86509,anomaly,10.182,22,45021.0,20,3249
86510,anomaly,0.001,62372,23.0,1,46
86511,anomaly,0.001,23,62372.0,1,40
86512,anomaly,13.292,34603,22.0,18,2327
86513,anomaly,13.292,22,34603.0,23,3545
86514,anomaly,9.952,48767,22.0,16,2293
86515,anomaly,9.952,22,48767.0,22,4201
86516,anomaly,121.463,14176,22.0,6,335
86517,anomaly,121.463,22,14176.0,15,8729
86518,anomaly,2.571,22,47236.0,13,2669
86519,anomaly,2.571,47236,22.0,12,1743
86520,anomaly,10.593,52120,22.0,17,2283
86521,anomaly,10.593,22,52120.0,19,3185
86522,anomaly,0.0,24771,7547.0,1,46
86523,anomaly,0.0,7547,24771.0,1,40
86524,anomaly,10.236,22,43858.0,19,3185
86525,anomaly,10.236,43858,22.0,17,2267
86526,anomaly,0.983,22,47112.0,5,1285
86527,anomaly,0.983,47112,22.0,6,340
86528,anomaly,13.393,39507,22.0,18,2321
86529,anomaly,13.393,22,39507.0,24,3529
86530,anomaly,0.0,23,4781.0,1,40
86531,anomaly,0.0,4781,23.0,1,46
86532,anomaly,10.112,57863,22.0,17,2267
86533,anomaly,10.112,22,57863.0,19,3185
86534,anomaly,8.595,23442,22.0,17,2267
86535,anomaly,8.595,22,23442.0,19,3185
86536,anomaly,21.721,22,29009.0,26,3745
86537,anomaly,21.721,29009,22.0,24,2921
86538,anomaly,8.391,25864,22.0,18,2375
86539,anomaly,8.391,22,25864.0,18,3393
86540,anomaly,9.83,51075,22.0,19,2383
86541,anomaly,9.83,22,51075.0,20,3305
86542,anomaly,21.372,56892,22.0,24,2900
86543,anomaly,21.372,22,56892.0,26,3745
86544,anomaly,6.488,13242,22.0,6,367
86545,anomaly,6.488,22,13242.0,8,3491
86546,anomaly,10.079,57913,22.0,15,2163
86547,anomaly,10.079,22,57913.0,20,3237
86548,anomaly,9.652,32844,22.0,15,2163
86549,anomaly,9.652,22,32844.0,19,3185
86550,anomaly,30.999,49199,80.0,1,46
86551,anomaly,30.999,80,49199.0,6,264
86552,anomaly,0.0,33835,5358.0,1,46
86553,anomaly,0.0,5358,33835.0,1,40
86554,anomaly,0.0,5358,42876.0,1,40
86555,anomaly,0.0,42876,5358.0,1,46
86556,anomaly,0.0,12802,23.0,1,46
86557,anomaly,0.0,23,12802.0,1,40
86558,anomaly,0.0,31223,7547.0,1,46
86559,anomaly,0.0,7547,31223.0,1,40
86560,anomaly,137.178,59262,22.0,5,409
86561,anomaly,137.178,22,59262.0,12,5740
86562,anomaly,5.418,62585,22.0,7,426
86563,anomaly,5.418,22,62585.0,7,2377
86564,anomaly,120.923,63710,22.0,8,1353
86565,anomaly,120.923,22,63710.0,15,8589
86566,anomaly,1.012,22,40895.0,5,1285
86567,anomaly,1.012,40895,22.0,6,340
86568,anomaly,0.0,58022,2086.0,1,46
86569,anomaly,0.0,2086,58022.0,1,40
86570,anomaly,9.699,37931,22.0,17,2261
86571,anomaly,9.699,22,37931.0,20,3249
86572,anomaly,30.998,51274,80.0,1,46
86573,anomaly,30.998,80,51274.0,6,264
86574,anomaly,19.843,22,31688.0,26,3745
86575,anomaly,19.843,31688,22.0,24,2889
86576,anomaly,6.432,11328,22.0,6,341
86577,anomaly,6.432,22,11328.0,7,2406
86578,anomaly,120.497,34830,22.0,3,179
86579,anomaly,120.497,22,34830.0,13,8574
86580,anomaly,18.873,22,41347.0,26,3745
86581,anomaly,18.873,41347,22.0,24,2889
86582,anomaly,8.724,12890,22.0,15,2163
86583,anomaly,8.724,22,12890.0,19,3185
86584,anomaly,1.491,45683,22.0,2,92
86585,anomaly,1.491,22,45683.0,2,88
86586,anomaly,18.901,22,51322.0,26,3745
86587,anomaly,18.901,51322,22.0,24,2889
86588,anomaly,30.996,48451,80.0,1,46
86589,anomaly,30.996,80,48451.0,6,264
86590,anomaly,0.0,27111,1900.0,1,122
86591,anomaly,0.0,0,3.3,1,150
86592,anomaly,20.149,22,11253.0,26,3745
