,label,V1,V2,V3,V4,V5
17283,nominal,0.066,8000,59065.0,7,702
17284,nominal,0.066,59065,8000.0,6,586
17285,nominal,0.051,8000,62646.0,7,556
17286,nominal,0.051,62646,8000.0,6,515
17287,nominal,0.061,8000,62647.0,7,702
17288,nominal,0.061,62647,8000.0,6,586
17289,nominal,0.05,8000,64017.0,7,556
17290,nominal,0.05,64017,8000.0,6,515
17291,nominal,0.059,8000,64018.0,7,702
17292,nominal,0.059,64018,8000.0,6,586
17293,nominal,0.045,8000,57850.0,7,556
17294,nominal,0.045,57850,8000.0,6,515
17295,nominal,0.058,8000,63253.0,7,556
17296,nominal,0.058,63253,8000.0,6,515
17297,nominal,0.066,8000,63254.0,7,702
17298,nominal,0.066,63254,8000.0,6,586
17299,nominal,0.079,8000,55716.0,7,556
17300,nominal,0.079,55716,8000.0,6,515
17301,nominal,0.055,8000,56865.0,7,556
17302,nominal,0.055,56865,8000.0,6,515
17303,nominal,0.065,8000,56866.0,7,702
17304,nominal,0.065,56866,8000.0,6,586
17305,nominal,0.047,8000,64308.0,7,556
17306,nominal,0.047,64308,8000.0,6,515
17307,nominal,0.054,8000,56279.0,7,556
17308,nominal,0.054,56279,8000.0,6,515
17309,nominal,0.065,8000,56280.0,7,702
17310,nominal,0.065,56280,8000.0,6,586
17311,nominal,120.0,8000,56281.0,7,561
17312,nominal,120.0,56281,8000.0,6,589
17313,nominal,0.052,8000,57313.0,7,556
17314,nominal,0.052,57313,8000.0,6,515
17315,nominal,0.066,8000,57314.0,7,702
17316,nominal,0.066,57314,8000.0,6,586
17317,nominal,0.044,8000,58360.0,7,556
17318,nominal,0.044,58360,8000.0,6,515
17319,nominal,0.07,8000,58361.0,7,702
17320,nominal,0.07,58361,8000.0,6,586
17321,nominal,0.05,8000,59396.0,7,556
17322,nominal,0.05,59396,8000.0,6,515
17323,nominal,0.06,8000,59397.0,7,702
17324,nominal,0.06,59397,8000.0,6,586
17325,nominal,0.056,8000,60428.0,7,556
17326,nominal,0.056,60428,8000.0,6,515
17327,nominal,0.068,8000,60429.0,7,702
17328,nominal,0.068,60429,8000.0,6,586
17329,nominal,0.054,8000,61462.0,7,556
17330,nominal,0.054,61462,8000.0,6,515
17331,nominal,0.061,8000,61463.0,7,702
17332,nominal,0.061,61463,8000.0,6,586
17333,nominal,0.054,8000,62497.0,7,556
17334,nominal,0.054,62497,8000.0,6,515
17335,nominal,0.075,8000,62498.0,7,702
17336,nominal,0.075,62498,8000.0,6,586
17337,nominal,0.049,8000,63529.0,7,556
17338,nominal,0.049,63529,8000.0,6,515
17339,nominal,0.072,8000,63530.0,7,702
17340,nominal,0.072,63530,8000.0,6,586
